32		2009		21		3		8		11
34		2004		6		0		28		28
37		2013		21		0		16		16
40		33		19		21		0		21
48		80		48		0		0		0
55		2024		34		0		21		21
67		2031		37		0		30		30
71		2058		50		1		20		21
71		2016		31		0		40		40
80		2036		40		0		40		40
81		2045		42		0		39		39
86		68		35		0		51		51
96		193		86		10		0		10
116		44		24		0		92		92
118		52		25		0		93		93
121		132		64		0		57		57
122		191		86		0		36		36
122		199		99		0		23		23
122		2077		59		0		63		63
122		146		66		0		56		56
123		118		62		0		61		61
123		11		6		15		102		117
123		20		10		39		74		113
124		203		99		0		25		25
124		184		85		0		39		39
124		65		35		0		89		89
124		230		114		0		10		10
125		76		41		9		75		84
125		35		19		39		67		106
125		93		52		32		41		73
125		6		3		70		52		122
126		43		20		1		105		106
131		2105		72		0		59		59
137		2070		51		0		86		86
138		2218		126		0		12		12
153		2198		110		1		42		43
154		2107		82		0		72		72
157		2156		104		0		53		53
157		2114		83		0		74		74
162		263		139		23		0		23
168		243		122		46		0		46
170		329		170		0		0		0
178		341		178		0		0		0
185		2177		107		0		78		78
203		2190		109		2		92		94
204		2135		98		0		106		106
207		2050		49		0		158		158
208		2169		106		1		101		102
211		319		151		0		60		60
212		2126		84		5		123		128
247		2281		158		3		86		89
268		2309		162		0		106		106
272		2189		108		0		164		164
282		2288		159		4		119		123
289		582		281		8		0		8
290		549		268		22		0		22
291		442		225		66		0		66
292		407		211		81		0		81
299		603		299		0		0		0
312		2210		111		1		200		201
317		580		281		0		36		36
317		577		281		0		36		36
322		637		317		5		0		5
324		2267		156		2		166		168
335		2339		175		0		160		160
336		2168		105		0		231		231
336		2260		155		1		180		181
339		291		143		8		188		196
340		287		142		0		198		198
342		531		255		0		87		87
343		517		253		0		90		90
343		630		313		0		30		30
349		3		3		3		343		346
349		648		322		0		27		27
353		2387		201		4		148		152
355		314		150		27		178		205
358		2295		160		8		190		198
358		604		301		0		57		57
359		292		143		2		214		216
360		2330		173		0		187		187
361		371		197		0		164		164
361		464		233		3		125		128
361		476		238		0		123		123
362		280		141		0		221		221
362		453		227		0		135		135
362		306		147		73		142		215
362		335		174		3		185		188
363		667		345		0		18		18
363		304		147		98		118		216
363		490		246		0		117		117
363		376		198		3		162		165
364		666		344		0		20		20
364		348		184		15		165		180
364		251		128		0		236		236
364		617		305		0		59		59
365		643		321		0		44		44
365		249		128		0		237		237
365		566		274		0		91		91
365		448		226		0		139		139
366		324		170		2		194		196
366		632		317		0		49		49
366		309		147		36		183		219
366		653		340		0		26		26
367		286		142		0		225		225
367		298		144		30		193		223
367		387		203		30		134		164
367		356		188		0		179		179
368		503		251		0		117		117
380		720		372		0		8		8
393		2274		157		2		234		236
404		771		396		8		0		8
405		759		394		11		0		11
405		755		393		0		12		12
406		739		385		21		0		21
406		751		393		3		10		13
406		709		368		0		38		38
407		714		368		39		0		39
407		730		382		0		25		25
408		675		349		59		0		59
418		2302		161		3		254		257
420		776		413		0		7		7
427		769		396		0		31		31
427		766		396		0		31		31
427		737		385		0		42		42
427		754		393		0		34		34
431		813		427		4		0		4
433		820		433		0		0		0
434		805		426		0		8		8
438		793		422		0		16		16
439		832		439		0		0		0
445		2408		208		20		217		237
458		2212		119		4		335		339
478		796		422		0		56		56
478		810		427		0		51		51
478		855		449		0		29		29
478		872		478		0		0		0
479		2092		65		1		413		414
481		2994		424		0		57		57
485		2996		429		0		56		56
499		2379		200		0		299		299
507		2586		263		2		242		244
519		2449		217		3		299		302
520		2469		219		0		301		301
524		2984		421		1		102		103
524		2723		312		5		207		212
539		2540		243		2		294		296
540		2513		231		6		303		309
544		2673		298		0		246		246
553		14		6		1		546		547
553		13		6		1		546		547
553		849		449		0		104		104
553		835		442		0		111		111
553		951		524		0		29		29
553		942		514		0		39		39
554		2555		245		15		294		309
556		2976		418		0		138		138
558		2863		361		36		161		197
559		2132		95		0		464		464
562		2457		218		2		342		344
567		2638		293		1		273		274
570		982		555		15		0		15
571		980		553		18		0		18
572		976		553		19		0		19
573		2470		220		1		352		353
590		2547		244		1		345		346
591		2813		353		1		237		238
592		2842		358		8		226		234
593		2478		221		1		371		372
593		2971		411		2		180		182
597		2378		199		12		386		398
601		2967		411		120		70		190
617		2399		202		5		410		415
624		2085		63		0		561		561
638		2715		311		8		319		327
652		2960		404		0		248		248
656		2421		210		6		440		446
667		2800		351		0		316		316
668		2743		320		5		343		348
684		2855		360		10		314		324
689		2694		306		15		368		383
691		2660		296		52		343		395
697		2926		389		32		276		308
702		2652		295		14		393		407
720		988		555		41		124		165
720		847		448		0		272		272
721		927		509		0		212		212
721		987		555		0		166		166
722		887		491		0		231		231
722		950		524		14		184		198
722		933		513		0		209		209
723		984		555		70		98		168
723		842		448		2		273		275
723		828		439		0		284		284
723		931		509		0		214		214
724		954		535		19		170		189
724		986		555		64		105		169
724		841		442		0		282		282
724		997		558		0		166		166
725		857		466		0		259		259
725		891		493		170		62		232
725		945		514		11		200		211
725		1000		558		0		167		167
725		956		535		102		88		190
726		974		552		0		174		174
726		994		556		45		125		170
740		2358		192		0		548		548
741		2821		354		13		374		387
764		2995		429		19		316		335
769		2525		232		0		537		537
789		2714		310		4		475		479
794		2897		378		28		388		416
801		2436		215		0		586		586
818		2420		209		2		607		609
826		2490		222		2		602		604
831		2890		377		8		446		454
835		2511		228		3		604		607
866		2448		216		29		621		650
871		2757		326		24		521		545
884		2651		294		0		590		590
903		2672		297		26		580		606
917		2148		103		2		812		814
919		3008		916		3		0		3
920		2933		390		20		510		530
934		3018		918		6		10		16
938		2739		318		8		612		620
