883		400		202		267		414		681
883		59		42		0		841		841
884		211		111		0		773		773
884		987		520		0		364		364
884		144		86		14		784		798
885		18		14		0		871		871
885		82		46		472		367		839
885		597		303		0		582		582
886		455		235		0		651		651
886		945		490		0		396		396
886		374		198		0		688		688
887		484		254		0		633		633
887		655		336		50		501		551
887		823		445		0		442		442
888		291		157		0		731		731
888		640		329		0		559		559
888		169		90		0		798		798
889		19		14		0		875		875
889		633		327		52		510		562
889		398		202		0		687		687
890		883		473		0		417		417
890		85		46		534		310		844
890		83		46		0		844		844
891		264		145		373		373		746
891		54		26		0		865		865
891		222		114		33		744		777
892		418		224		0		668		668
892		554		280		17		595		612
892		267		145		435		312		747
892		2190		102		44		746		790
894		3550		724		170		0		170
897		3381		612		113		172		285
907		2849		485		19		403		422
914		3183		490		54		370		424
915		2094		55		20		840		860
918		2025		12		3		903		906
918		2209		111		46		761		807
924		2212		114		46		764		810
924		2215		114		47		763		810
926		3592		742		184		0		184
928		3003		363		0		565		565
929		2029		13		3		913		916
930		3600		743		187		0		187
934		3608		746		188		0		188
950		2424		245		88		617		705
950		2427		245		89		616		705
952		2316		176		70		706		776
952		2318		176		70		706		776
959		3205		498		59		402		461
964		2238		125		55		784		839
966		2543		317		16		633		649
968		3656		765		203		0		203
970		2595		349		78		543		621
970		2170		91		38		841		879
973		3211		502		62		409		471
976		3664		771		205		0		205
977		2242		130		56		791		847
980		3420		647		127		206		333
999		2053		26		9		964		973
1000		3441		654		133		213		346
1003		2352		199		76		728		804
1009		3292		569		89		351		440
1012		2358		207		75		730		805
1016		2130		74		28		914		942
1017		2511		285		94		638		732
1021		2614		358		5		658		663
1022		2518		287		94		641		735
1024		2134		75		30		919		949
1025		2138		75		30		920		950
1027		3455		668		137		222		359
1027		3229		508		66		453		519
1032		3717		808		224		0		224
1036		2774		455		6		575		581
1036		2663		393		79		564		643
1037		2700		408		1		628		629
1038		2288		158		63		817		880
1043		3734		816		227		0		227
1050		3744		820		230		0		230
1051		2838		477		3		571		574
1052		2835		477		1		574		575
1054		2809		469		28		557		585
1054		2111		59		23		972		995
1055		3750		822		233		0		233
1056		3753		822		234		0		234
1062		2227		122		50		890		940
1062		2312		173		68		821		889
1064		2162		85		37		942		979
1068		3480		685		146		237		383
1068		3481		685		146		237		383
1070		2060		33		12		1025		1037
1076		3489		688		148		240		388
1082		2063		33		13		1036		1049
1083		2725		426		86		571		657
1083		2048		18		5		1060		1065
1084		2538		296		33		755		788
1084		2338		185		72		827		899
1085		2903		513		29		543		572
1086		2745		433		0		653		653
1090		3115		437		36		617		653
1096		3790		848		248		0		248
1097		3494		697		151		249		400
1097		3496		697		151		249		400
1101		3504		698		153		250		403
1103		2348		191		74		838		912
1106		2125		69		25		1012		1037
1109		2788		461		0		648		648
1109		2475		271		96		742		838
1109		2180		97		42		970		1012
1111		3510		702		155		254		409
1112		2439		254		5		853		858
1115		2254		142		55		918		973
1115		2573		338		34		743		777
1118		2065		39		13		1066		1079
1119		2875		503		13		603		616
1123		3346		598		106		419		525
1124		2127		74		27		1023		1050
1130		2268		149		59		922		981
1131		2727		426		47		658		705
1131		2069		39		15		1077		1092
1132		2812		469		5		658		663
1137		2136		75		30		1032		1062
1146		2377		216		81		849		930
1147		3846		878		269		0		269
1151		2824		473		94		584		678
1152		2384		221		83		848		931
1152		2017		10		2		1140		1142
1156		3857		884		272		0		272
1158		2882		506		9		643		652
1159		3866		885		274		0		274
1160		2641		378		22		760		782
1162		2219		116		49		997		1046
1163		2541		317		84		762		846
1164		2763		451		16		697		713
1166		3544		721		168		277		445
1166		2301		167		65		934		999
1167		2742		432		17		718		735
1170		2305		171		65		934		999
1172		2889		509		27		636		663
1173		3554		726		171		276		447
1179		2133		74		18		1087		1105
1179		2164		85		37		1057		1094
1182		3563		729		174		279		453
1184		3889		904		280		0		280
1186		3892		905		281		0		281
1187		2956		533		100		554		654
1188		3177		489		52		647		699
1188		2434		250		91		847		938
1190		2887		509		99		582		681
1194		2723		426		86		682		768
1196		2852		485		30		681		711
1197		3904		912		285		0		285
1197		2598		350		77		770		847
1198		2602		350		78		770		848
1198		2748		433		34		731		765
1198		2906		516		101		581		682
1203		3184		490		54		659		713
